IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.86.79,2087,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,22508 kB/s
47.243.5.154,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,21315 kB/s
8.218.2.181,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,20406 kB/s
47.76.204.76,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,17274 kB/s
8.210.3.24,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,17127 kB/s
47.76.33.40,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,15800 kB/s
47.243.90.180,2096,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,15039 kB/s
47.243.203.119,2087,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,13557 kB/s
8.217.85.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,13458 kB/s
47.76.77.103,2053,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,13440 kB/s
47.243.86.79,2083,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,13093 kB/s
8.218.53.110,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,12916 kB/s
47.242.176.237,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,12892 kB/s
8.210.9.129,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,12660 kB/s
47.242.54.157,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,12623 kB/s
47.242.155.183,8443,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,12590 kB/s
47.242.155.183,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,12317 kB/s
8.217.145.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,12122 kB/s
8.210.175.109,2053,TRUE,HKG,Asia Pacific,Hong Kong,80 ms,11940 kB/s
8.218.122.55,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,11786 kB/s
47.243.203.119,2083,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,11515 kB/s
47.76.204.76,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,11268 kB/s
8.218.53.110,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,11069 kB/s
47.243.107.148,2053,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,11036 kB/s
8.210.48.107,2053,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,10940 kB/s
47.238.40.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,10887 kB/s
47.238.40.58,2087,TRUE,HKG,Asia Pacific,Hong Kong,95 ms,10332 kB/s
8.210.9.129,8443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,10298 kB/s
8.217.121.207,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,10157 kB/s
8.210.207.214,2053,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,10085 kB/s
8.210.101.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,10056 kB/s
